"Jules Stein Eye Institute","100 Stein Plaza, Los Angeles, CA 90024",34.0651092,-118.4439674
"Renee And David Kaplan Hall (Humanities)","415 Portola Plaza, Los Angeles, CA 90024",34.0713898,-118.4411799
"Kaufman Hall","120 Westwood Plaza, Los Angeles, CA 90024",34.0728633,-118.4440614
"Kerckhoff Hall","308 Westwood Plaza, Los Angeles, CA 90024",34.0704371,-118.4436004
"Kinross Recreation Center","11100 Kinross Ave., Los Angeles, CA 90024",34.059165,-118.4481586
"Kinross South","11020 Kinross Ave., Los Angeles, CA 90024",34.0587068,-118.4463456
"Knudsen Hall","475 Portola Plaza, Los Angeles, CA 90024",34.0705889,-118.4410971
"La Kretz Hall (Botany Building)","619 Charles E. Young Dr. East, Los Angeles, CA 90024",34.0675862,-118.4426849
"School of Law","385 Charles E. Young Dr. East, Los Angeles, CA 90024",34.0730485,-118.4384322
"Life Sciences Building","621 Charles E. Young Dr. South, Los Angeles, CA 90024",34.0672324,-118.442194
"Los Angeles Tennis Center (Straus Stadium)","420 Charles E. Young Dr. West, Los Angeles, CA 90024",34.0703932,-118.4484099
"Meyer & Renee Luskin Conference Center","425 Westwood Plaza, Los Angeles, CA 90024",34.069179,-118.445718
"Luskin School of Public Affairs","337 Charles E. Young Dr. East, Los Angeles, CA 90024",34.0744024,-118.4390865
"Los Angeles National Cemetery","950 S Sepulveda Blvd, Los Angeles, CA 90049",34.061907,-118.454024
"Lu Valle Commons","398 Portola Plaza, Los Angeles, CA 90024",34.0736624,-118.4392434
"MacDonald Medical Research Labs (MRL)","675 Charles E. Young Dr. South, Los Angeles, CA 90024",34.0673739,-118.4440028
"MacGowan Hall","245 Charles E. Young Dr. East, Los Angeles, CA 90024",34.0758815,-118.4396813
"MacGowan East","243 Charles E. Young Dr. East, Los Angeles, CA 90024",34.076107,-118.4393243
"Manoukian Medical Building","100 Medical Plaza, Los Angeles, CA 90024",34.0655792,-118.4458242
"Marion Davies Children’s Center","805 Tiverton Ave., Los Angeles, CA 90024",34.0651818,-118.4424405
"Mathematical Sciences Building (Math and Sciences)","520 Portola Plaza, Los Angeles, CA 90024",34.0696014,-118.4428743
"Mattel Children’s Hospital","757 Westwood Plaza, Los Angeles, CA 90024",34.0662788,-118.4470304
"Melnitz Hall","235 Charles E. Young Dr. East, Los Angeles, CA 90024",34.0763666,-118.4399691
"Melnitz East","235 Charles E. Young Dr. East, Los Angeles, CA 90024",34.0764308,-118.4393903
"Mo Ostin Basketball Center","440 Charles E. Young Dr. West, Los Angeles, CA 90024",34.0704197,-118.4426416
"Molecular Sciences Building (MSB)","609 Charles E. Young Dr. East, Los Angeles, CA 90024",34.0681597,-118.4408573
"Moore Hall","457 Portola Plaza, Los Angeles, CA 90024",34.0704197,-118.4426416
"Morgan Intercollegiate Athletics Center","301½ Westwood Plaza, Los Angeles, CA 90024",34.0704197,-118.4426416
"Morton Medical Building (MP200)","200 Medical Plaza, Los Angeles, CA 90024",34.0651989,-118.4467765
"Murphy Hall","410 Charles E. Young Dr. East, Los Angeles, CA 90024",34.0716091,-118.4387084
"Neuroscience Research Building","635 Charles E. Young Dr. South, Los Angeles, CA 90024",34.0671168,-118.4436175
"North Campus Student Center","295 Charles E. Young Dr. North, Los Angeles, CA 90024",34.0743246,-118.4420985
"Occupational Health Facility","67-120 Center for Health Sciences, Los Angeles, CA 90024",34.0655157,-118.4426074
"Ornamental Horticulture Building “J”","267 De Neve Dr., Los Angeles, CA 90024",34.0724676,-118.4537267
"Ornamental Horticulture Building “M","265 De Neve Dr., Los Angeles, CA 90024",34.0724784,-118.4534928
"Orthopaedic Hospital Research Center (OHRC)","615 Charles E. Young Dr., South, Los Angeles, CA 90024",34.0671588,-118.4413307
"Oppenheimer Tower","10880 Wilshire Blvd., Los Angeles, CA 90024",34.0585179,-118.4429337
"Ostin Music Center","445 Charles E. Young Dr. East, Los Angeles, CA 90024",34.0702448,-118.4403208
"Pauley Pavilion","301 Westwood Plaza, Los Angeles, CA 90024",34.0704818,-118.4468023
"Perloff Hall","365 Portola Plaza, Los Angeles, CA 90024",34.073456,-118.4401909
"Physics & Astronomy Building (PAB)","430 Portola Plaza, Los Angeles, CA 90024",34.0706955,-118.44158
"Plant Growth Center","614 Charles E. Young Dr. South, Los Angeles, CA 90024",34.0663022,-118.4402734
"Police Station","601 Westwood Plaza, Los Angeles, CA 90024",34.0673085,-118.4454037
"Portola Plaza Building","460 Portola Plaza, Los Angeles, CA 90024",34.0702173,-118.4418507
"Powell Library","10740 Dickson Plaza, Los Angeles, CA 90024",34.0716126,-118.4421809
"Reed Neurological Research Center","710 Westwood Plaza, Los Angeles, CA 90024",34.0662753,-118.44477
"Rehabilitation Center","1000 Veteran Ave., Los Angeles, CA 90024",34.0604386,-118.4489856
"Resnick Neuropsychiatric Hospital","150 UCLA Medical Plaza, Los Angeles, CA 90024",34.0661681,-118.4464463
"Rolfe Hall","345 Portola Plaza, Los Angeles, CA 90024",34.0737017,-118.4420678
"Ronald Reagan UCLA Medical Center","757 Westwood Plaza, Los Angeles, CA 90024",34.0662795,-118.4463178
"Royce Hall","10745 Dickson Plaza, Los Angeles, CA 90024",34.0728088,-118.4421592
"Schoenberg Music Building","445 Charles E. Young Dr. East, Los Angeles, CA 90024",34.0707483,-118.4401261
"Science & Technology Research Building (STRB)","1040 Veteran Ave., Los Angeles, CA 90024",34.0607678,-118.4484049
"Semel Institute","760 Westwood Plaza, Los Angeles, CA 90024",34.0658662,-118.4446615
"Slichter Hall","603 Charles E. Young Dr. East, Los Angeles, CA 90024",34.0689305,-118.4407805
"Southern Regional Library Facility (SRLF)","305 De Neve Dr., Los Angeles, CA 90024",34.0710282,-118.4541896
"Spieker Aquatics Center","114 Easton Dr., Los Angeles, CA 90024",34.0749062,-118.450578
"Strathmore Building","501 - 555 Westwood Plaza, Los Angeles, CA 90024",34.0682478,-118.4452144
"Student Activities Center (SAC)","220 Westwood Plaza, Los Angeles, CA 90024",34.0715644,-118.4440863
"Sunset Canyon Recreation Center","111 Easton Dr., Los Angeles, CA 90024",34.0752324,-118.4510578
"Terasaki Life Sciences Building","610 Charles E. Young Dr. East, Los Angeles, CA 90024",34.0671903,-118.4403727
"Tiverton Patient Family Guest House","900 Tiverton Ave., Los Angeles, CA 90024",34.0630925,-118.4421359
"Transit Operations Maintenance Yard","11075 Kinross Ave., Los Angeles, CA 90024",34.0594811,-118.4483717
